model,file,auroc,best_threshold,adj_f1,adj_precision,adj_recall,tp,fp,fn,tn
gated,trip_C_1_1.csv,0.7719917988408318,1.9708868250250817,0.43749999995275607,0.5999999999982857,0.3442622950814028,21,14,40,1833
gated,trip_C_1_2.csv,0.9238913352101832,0.3404206223785877,0.1944444444267104,0.10769230769225248,0.9999999999952381,21,174,0,1805
gated,trip_C_2_1.csv,0.5862313763953109,1.752523458003998,0.35294117642002687,0.3620689655166171,0.3442622950814028,21,37,40,1718
gated,trip_C_2_2.csv,0.8480774051235775,0.14553270637989044,0.36526946104776975,0.2234432234431416,0.9999999999983606,61,212,0,1423
gated,trip_I_1_1.csv,0.6061070237278513,-0.10310961008071899,0.29577464784604246,0.207920792079105,0.5121951219505949,42,160,40,1902
gated,trip_I_1_2.csv,0.4671706989247312,-0.8867850542068482,0.069204152242442,0.03584229390680682,0.9999999999975,40,1076,0,412
gated,trip_I_2_1.csv,0.6824170595613998,-0.39916153252124786,0.23371647507505547,0.13232104121472185,0.9999999999983606,61,400,0,1495
gated,trip_I_2_2.csv,0.49444841974931464,-0.12203046083450317,0.3685800603926726,0.22592592592584226,0.9999999999983606,61,209,0,1830
gaussian,trip_C_1_1.csv,0.7741574729068849,2.4017981996759774,0.8187919462592675,0.6931818181810304,0.9999999999983606,61,27,0,1820
gaussian,trip_C_1_2.csv,0.9251906927500662,0.3593971192836761,0.1653543306933629,0.09012875536476819,0.9999999999952381,21,212,0,1767
gaussian,trip_C_2_1.csv,0.5704731212927934,1.9541590064764023,0.33333333328285464,0.32307692307642605,0.3442622950814028,21,44,40,1711
gaussian,trip_C_2_2.csv,0.8444477866345816,0.27812727391719816,0.3696969696666097,0.2267657992564213,0.9999999999983606,61,208,0,1427
gaussian,trip_I_1_1.csv,0.595940479288401,-0.03622471112757921,0.27009646298350515,0.1834061135370378,0.5121951219505949,42,187,40,1875
gaussian,trip_I_1_2.csv,0.4324764784946237,-0.8015946507453918,0.06666666666021111,0.03448275862068668,0.9999999999975,40,1120,0,368
gaussian,trip_I_2_1.csv,0.6776504174055971,2.3932864546775816,0.6896551723627378,0.7272727272714049,0.6557377049169578,40,15,21,1880
gaussian,trip_I_2_2.csv,0.4839643348153627,-0.072700747102499,0.31688311685628473,0.18827160493821352,0.9999999999983606,61,263,0,1776
mse,trip_C_1_1.csv,0.7586693530492514,0.45099415332078935,0.3973941367757154,0.24796747967469596,0.9999999999983606,61,185,0,1662
mse,trip_C_1_2.csv,0.8620756033590797,0.5340939663350582,0.19354838707911404,0.10714285714280249,0.9999999999952381,21,175,0,1804
mse,trip_C_2_1.csv,0.6316472841063004,0.7902584508061409,0.6815642457643644,0.5169491525419347,0.9999999999983606,61,57,0,1698
mse,trip_C_2_2.csv,0.8692936281145034,0.3665700823068619,0.31688311685628473,0.18827160493821352,0.9999999999983606,61,263,0,1372
mse,trip_I_1_1.csv,0.6780535118639256,0.44605922102928164,0.4970414200677987,0.48275862068910025,0.5121951219505949,42,45,40,2017
mse,trip_I_1_2.csv,0.5477822580645162,0.058832569792866704,0.06980802791646183,0.03616636528028606,0.9999999999975,40,1066,0,422
mse,trip_I_2_1.csv,0.7376530126735585,0.24701470732688904,0.26579520694851455,0.15326633165825296,0.9999999999983606,61,337,0,1558
mse,trip_I_2_2.csv,0.5673144180287669,0.3089742958545685,0.41496598636138876,0.2618025751071838,0.9999999999983606,61,172,0,1867
