Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
473.6,0.0,6.1,0.0,0.0,0,13.7,6,0,0,0,2.3,1334,4.3,11.3,-10.3,-7.5,91,630,4.3,25.1,2.0,67.2,-10.4,230,1,15,508,0.0,3040,0,0,1358.0,0,88,0.0,0.0,0.0,0.0,1354.0,1,0,0,0.0,-0.7,2,241.2,0.0,-2.1,0,0.1,1,C,1,0
268.8,0.0,6.1,0.0,0.0,0,14.1,6,0,0,0,2.3,926,6.3,10.2,-9.4,-5.6,91,660,6.3,23.1,2.0,59.8,-8.9,230,1,15,508,0.0,3040,0,0,917.8,0,88,0.0,0.0,0.0,0.0,915.8,1,0,0,0.0,-0.1,2,38.5,0.0,-0.1,0,0.1,2,C,1,0
243.2,0.0,6.1,0.0,0.0,0,13.7,6,0,0,0,2.3,783,6.3,9.0,-8.3,-10.1,91,670,6.3,27.8,2.0,56.3,-8.4,230,1,15,508,0.0,3040,0,0,765.0,0,88,0.0,0.0,0.0,0.0,764.3,1,0,0,0.0,-0.1,2,37.7,0.0,-0.1,0,0.0,3,C,1,0
230.4,0.0,5.7,0.0,0.0,0,13.7,6,0,0,0,2.3,702,7.0,9.0,-8.9,-10.5,91,670,7.0,29.8,2.0,55.1,-8.5,230,1,15,508,0.0,3040,0,1,679.3,0,88,0.0,0.0,0.0,0.0,679.5,1,0,0,0.0,-0.1,2,37.5,0.0,-0.1,0,0.1,4,C,1,0
256.0,0.0,6.1,0.0,0.0,0,14.1,6,0,0,0,2.3,729,8.2,13.7,-19.0,-9.8,91,670,8.2,32.2,2.0,55.1,-18.8,230,1,15,508,0.0,3040,0,1,708.0,0,88,0.0,0.0,0.0,0.0,708.8,1,0,0,0.0,-0.1,2,36.0,0.0,-0.1,0,0.1,5,C,1,0
268.8,0.0,6.1,0.0,0.0,0,14.1,6,0,0,0,2.3,689,11.3,16.0,-4.0,-6.0,91,670,11.3,34.5,2.0,54.7,-3.8,230,1,15,508,0.0,3040,0,1,670.8,0,88,0.0,0.0,0.0,0.0,670.3,1,0,0,0.0,-0.1,2,33.9,0.0,-0.1,0,0.1,6,C,1,0
268.8,0.0,6.6,0.0,0.0,0,14.1,6,0,0,0,2.3,646,17.2,17.6,0.6,1.5,90,670,17.2,39.2,2.0,54.3,0.8,230,1,15,508,0.0,3040,0,1,623.5,0,88,0.0,0.0,0.0,0.0,624.0,1,0,0,0.0,-0.1,2,31.9,0.0,-0.1,0,0.1,7,C,1,0
307.2,0.0,6.6,0.0,0.0,0,14.5,6,0,0,0,2.3,648,19.5,18.8,0.0,1.9,90,670,19.5,43.1,2.0,54.3,0.1,230,1,15,508,0.0,3040,0,1,625.0,0,88,0.0,0.0,0.0,0.0,625.5,1,0,0,0.0,-0.1,2,31.2,0.0,-0.1,0,0.1,8,C,1,0
345.6,0.0,7.1,0.0,0.0,0,14.9,6,0,0,0,2.3,661,20.3,20.3,-0.7,-1.5,90,670,20.3,47.1,2.0,54.3,-0.7,230,1,15,508,0.0,3040,0,1,639.0,0,88,0.0,0.0,0.0,0.0,639.3,1,0,0,0.0,-0.1,2,31.1,0.0,-0.1,0,0.0,9,C,1,0
358.4,0.0,7.1,0.0,0.0,0,14.9,6,0,0,0,2.3,677,19.9,21.1,-6.4,-3.0,90,670,19.9,47.8,2.0,54.3,-6.0,230,1,15,508,0.0,3040,0,1,654.3,0,88,0.0,0.0,0.0,0.0,655.0,1,0,0,0.0,-0.1,2,31.1,0.0,-0.1,0,0.1,10,C,1,0
345.6,0.0,7.1,0.0,0.0,0,14.5,6,0,0,0,2.3,673,19.9,21.1,-2.0,-1.5,90,670,19.9,46.3,2.0,54.7,-1.6,230,1,15,508,0.0,3040,0,1,651.8,0,88,0.0,0.0,0.0,0.0,652.0,1,0,0,0.0,-0.1,2,31.2,0.0,-0.1,0,0.1,11,C,1,0
332.8,0.0,7.1,0.0,0.0,0,14.5,6,0,0,0,2.3,660,20.3,19.9,0.8,-0.8,90,670,20.3,46.3,2.0,54.3,1.0,230,1,15,508,0.0,3040,0,1,638.0,0,88,0.0,0.0,0.0,0.0,638.3,1,0,0,0.0,-0.1,2,31.1,0.0,-0.1,0,0.1,12,C,1,0
332.8,0.0,6.6,0.0,0.0,0,14.5,6,0,0,0,2.3,656,19.9,18.8,1.1,0.0,90,670,19.9,45.1,2.0,54.3,1.4,230,1,15,508,0.0,3040,0,1,633.5,0,88,0.0,0.0,0.0,0.0,634.0,1,0,0,0.0,-0.1,2,31.0,0.0,-0.1,0,0.1,13,C,1,0
320.0,0.0,6.6,1.6,0.0,0,14.5,6,0,0,0,2.3,655,19.9,18.4,4.1,0.0,89,670,19.9,45.1,2.0,54.3,4.2,230,1,15,508,0.0,3040,0,1,633.8,0,88,0.0,0.0,0.0,0.0,634.3,1,0,0,0.0,-0.1,2,31.0,0.0,-0.1,0,0.1,14,C,1,0
332.8,0.0,7.1,2.3,0.0,0,14.5,6,0,0,0,2.3,662,19.5,18.4,2.4,-0.8,89,670,19.5,45.1,2.0,54.7,2.7,230,1,15,508,0.0,3040,0,1,639.8,0,88,0.0,0.0,0.0,0.0,640.3,1,0,0,0.0,-0.1,2,31.0,0.0,-0.1,0,0.1,15,C,1,0
332.8,0.0,7.1,3.1,0.0,0,14.5,6,0,0,0,2.3,667,19.9,18.8,2.6,-1.1,89,670,19.9,45.5,2.0,54.7,2.5,230,1,15,508,0.0,3040,0,1,645.5,0,88,0.0,0.0,0.0,0.0,646.0,1,0,0,0.0,-0.1,2,31.0,0.0,-0.1,0,0.1,16,C,1,0
358.4,0.0,7.1,3.1,0.0,0,14.5,6,0,0,0,2.3,672,19.9,18.8,0.2,-1.5,88,670,19.9,45.9,2.0,54.7,0.6,230,1,15,508,0.0,3040,0,1,649.5,0,88,0.0,0.0,0.0,0.0,650.3,1,0,0,0.0,-0.1,2,31.0,0.0,-0.1,0,0.1,17,C,1,0
345.6,0.0,7.1,3.1,0.0,0,14.5,6,0,0,0,2.3,674,19.5,18.8,1.2,-1.1,88,670,19.5,45.1,2.0,54.7,1.2,230,1,15,508,0.0,3040,0,1,652.3,0,88,0.0,0.0,0.0,0.0,652.8,1,0,0,0.0,-0.1,2,29.5,0.0,-0.1,0,0.0,18,C,1,0
