Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
601.6,0.0,6.6,0.0,0.0,0,14.5,3,0,0,0,3.1,1183,16.0,8.2,-10.3,-7.5,93,630,14.1,46.3,2.3,62.5,-10.3,230,1,15,508,0.0,3040,0,0,1105.8,0,93,0.0,0.0,0.0,0.0,1118.3,1,0,0,0.0,0.0,2,21.0,0.0,-5.3,164,29.6,1,I,1,0
307.2,0.0,6.1,0.0,0.0,0,14.1,3,0,0,0,3.1,1050,5.1,7.8,-3.6,-7.1,93,650,5.1,22.7,2.0,60.9,-3.4,230,1,15,508,0.0,3040,0,0,1061.0,0,93,0.0,0.0,0.0,0.0,1056.8,1,0,0,0.0,-0.5,2,24.3,0.0,-0.5,0,29.6,2,I,1,0
243.2,0.0,6.6,0.0,0.0,0,14.5,3,0,0,0,3.1,771,6.3,6.6,-2.2,-10.1,93,670,6.3,28.6,2.0,54.7,-2.2,230,1,15,508,0.0,3040,0,0,755.8,0,93,0.0,0.0,0.0,0.0,754.8,1,0,0,0.0,-0.1,2,29.3,0.0,-0.1,0,29.3,3,I,1,0
243.2,0.0,6.1,0.0,0.0,0,14.1,3,0,0,0,3.1,693,6.6,6.3,-1.4,-13.5,93,670,6.6,31.0,2.0,53.5,-1.2,230,1,15,508,0.0,3040,0,0,673.3,0,93,0.0,0.0,0.0,0.0,673.3,1,0,0,0.0,-0.1,2,28.8,0.0,-0.1,0,29.6,4,I,1,0
243.2,0.0,6.1,0.0,0.0,0,14.1,3,0,0,0,2.3,718,7.0,9.4,-16.2,-10.9,93,670,7.0,30.2,2.0,53.5,-16.2,230,1,15,508,0.0,3040,0,1,695.5,0,92,0.0,0.0,0.0,0.0,696.8,1,0,0,0.0,-0.1,2,28.4,0.0,-0.1,0,29.6,5,I,1,0
256.0,0.0,6.6,0.0,0.0,0,14.5,3,0,0,0,3.1,746,8.2,15.2,-13.3,-8.6,93,670,8.6,32.2,2.0,54.3,-13.5,230,1,15,508,0.0,3040,0,1,727.8,0,92,0.0,0.0,0.0,0.0,727.8,1,0,0,0.0,-0.1,2,28.2,0.0,-0.1,0,29.5,6,I,1,0
256.0,0.0,6.6,0.0,0.0,0,14.5,3,0,0,0,3.1,682,12.5,16.8,-6.6,-4.1,93,670,12.5,35.7,2.0,53.5,-6.4,230,1,15,508,0.0,3040,0,1,662.8,0,92,0.0,0.0,0.0,0.0,662.8,1,0,0,0.0,-0.1,2,28.2,0.0,-0.1,0,29.6,7,I,1,0
281.6,0.0,7.1,0.0,0.0,0,14.9,3,0,0,0,3.1,641,17.6,18.4,1.6,2.6,93,670,17.6,41.2,2.0,52.7,2.1,230,1,15,508,0.0,3040,0,1,620.5,0,92,0.0,0.0,0.0,0.0,620.5,1,0,0,0.0,-0.1,2,28.2,0.0,-0.1,0,29.6,8,I,1,0
320.0,0.0,7.1,0.0,0.0,0,14.9,3,0,0,0,3.1,649,20.3,19.5,-0.8,0.0,93,670,20.3,46.7,2.0,52.7,-0.5,230,1,15,508,0.0,3040,0,1,627.5,0,92,0.0,0.0,0.0,0.0,628.3,1,0,0,0.0,-0.1,2,28.2,0.0,-0.1,0,29.6,9,I,1,0
345.6,0.0,7.5,0.0,0.0,0,15.3,3,0,0,0,3.1,662,20.3,20.7,-2.1,-2.6,92,670,20.3,48.6,2.0,53.1,-1.7,230,1,15,508,0.0,3040,0,1,641.3,0,92,0.0,0.0,0.0,0.0,641.8,1,0,0,0.0,-0.1,2,28.1,0.0,-0.1,0,29.6,10,I,1,0
358.4,0.0,7.5,0.0,0.0,0,15.3,3,0,0,0,3.1,666,19.9,20.7,-1.8,-3.4,92,670,20.3,49.4,2.0,53.1,-1.4,230,1,15,508,0.0,3040,0,1,645.8,0,92,0.0,0.0,0.0,0.0,646.3,1,0,0,0.0,-0.1,2,28.0,0.0,-0.1,0,29.6,11,I,1,0
76.8,0.0,7.1,0.0,0.0,0,14.9,3,0,0,0,3.1,654,19.9,18.8,2.1,-1.5,91,670,19.9,48.6,2.0,53.1,2.3,230,1,15,508,0.0,3040,0,1,632.8,0,92,0.0,0.0,0.0,0.0,633.3,1,0,0,0.0,-0.1,2,27.9,0.0,-0.1,0,29.3,12,I,1,0
