Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
652.8,0.0,7.1,0.0,59.0,0,14.5,0,0,0,0,2.3,1203,15.6,12.1,-19.2,-8.6,87,630,14.8,47.5,2.3,64.1,-19.2,230,1,15,508,0.0,3040,0,0,1099.0,0,54,0.0,0.0,0.0,0.0,1111.5,1,0,0,0.0,0.2,2,38.9,0.0,-5.1,296,6.4,1,F,1,0
320.0,0.0,6.1,0.0,34.0,0,14.1,0,0,0,0,3.1,1024,5.9,12.5,-10.6,-7.1,87,650,5.9,24.3,2.0,61.7,-10.7,230,1,15,508,0.0,3040,0,0,1012.3,0,54,0.0,0.0,0.0,0.0,1008.5,1,0,0,0.0,1.1,2,63.1,0.0,1.3,0,6.6,2,F,1,0
281.6,0.0,6.6,0.0,38.0,0,14.5,0,0,0,0,3.1,801,6.6,10.9,-7.0,-10.5,87,670,6.6,29.0,2.0,56.6,-6.9,230,1,15,508,0.0,3040,0,0,763.8,1,54,0.0,0.0,0.0,0.0,762.8,1,0,5,0.0,0.3,2,53.6,-10.0,0.5,0,6.6,3,F,1,0
320.0,0.0,7.1,0.0,49.0,0,14.9,0,0,0,0,3.1,684,9.8,8.2,6.4,-13.1,87,670,9.8,38.8,2.0,54.7,6.7,230,1,15,508,0.0,3040,0,0,355.8,1,54,0.0,0.0,0.0,0.0,360.5,1,0,5,0.0,0.3,2,53.2,0.0,0.5,0,7.0,4,F,1,0
294.4,0.0,6.6,0.0,48.0,0,14.5,0,0,0,0,3.1,702,11.7,11.3,-6.2,-9.0,87,670,11.7,38.0,2.0,54.7,-6.5,230,1,15,508,0.0,3040,0,1,0.0,1,54,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,0.3,2,52.9,0.0,0.5,0,7.0,5,F,1,0
307.2,0.0,7.1,-2.3,49.0,0,14.5,0,0,0,0,3.1,719,12.9,16.4,-3.8,-7.5,87,670,12.9,38.8,2.0,55.1,-3.3,230,1,15,508,0.0,3040,0,1,0.0,1,54,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,0.3,1,29.4,0.0,0.5,0,24.6,6,F,1,0
332.8,0.0,7.5,-2.3,54.0,0,14.9,0,0,0,0,3.1,703,17.6,18.0,11.7,-2.3,87,690,60.82857142857143,42.7,2.0,55.1,7.3,230,1,15,508,0.0,3040,0,1,8.0,1,54,0.0,0.0,0.0,0.0,8.8,1,0,5,0.0,0.4,1,0.9,0.0,0.5,12,34.7,7,F,1,1
678.4,7.4,11.8,-3.9,66.0,0,18.0,0,0,0,0,2.3,1113,33.2,18.8,35.9,17.6,87,740,45.62857142857143,54.9,2.0,62.1,35.9,230,1,15,508,0.0,3040,0,1,219.0,1,54,1.1,0.4,0.6,1.0,223.5,1,0,5,0.0,1.2,1,0.9,0.0,0.5,0,38.6,8,F,1,1
1177.6,17.2,19.3,-6.3,81.0,0,23.1,0,0,0,0,2.3,1486,43.4,19.1,73.4,10.5,87,780,34.62857142857143,69.8,2.0,69.1,74.7,230,1,15,508,0.0,3040,0,1,793.3,1,54,5.3,4.4,4.5,5.1,800.5,1,0,5,5.0,1.8,1,0.9,0.0,0.6,12,62.0,9,F,1,1
1817.6,13.7,21.6,-2.3,84.0,0,27.1,0,0,0,0,2.3,1906,48.0,19.1,30.3,11.3,87,800,30.728571428571428,74.9,2.0,76.6,30.3,230,1,15,508,0.0,3040,0,1,1493.3,1,54,10.0,9.4,9.8,9.8,1498.8,1,0,5,10.0,1.9,1,0.9,12.0,1.1,72,102.7,10,F,1,1
1241.6,21.1,17.4,-2.3,68.0,0,21.2,0,0,0,0,2.3,1769,38.7,19.1,74.5,21.0,87,820,39.72857142857143,56.9,2.0,75.4,74.5,230,1,15,508,0.0,3040,0,1,1569.8,1,54,10.5,10.0,10.1,10.4,1569.5,1,0,5,10.0,1.1,1,0.9,0.0,0.4,84,12.5,11,F,1,1
2188.8,27.0,39.9,-1.6,94.0,0,35.3,0,0,0,0,2.3,2081,53.1,18.0,89.3,5.6,87,830,25.32857142857143,84.3,2.3,77.7,87.8,230,1,15,508,0.0,3040,0,1,1754.5,1,54,12.0,10.9,11.2,11.9,1759.3,1,0,5,11.0,2.2,1,0.9,0.0,0.2,20,0.8,12,F,1,1
3059.2,27.3,54.0,0.0,97.0,0,52.2,0,0,0,0,2.3,2511,59.8,18.0,95.4,6.0,87,860,18.628571428571433,92.5,2.7,79.7,95.4,230,1,15,508,0.0,3040,0,1,2233.0,1,55,15.4,14.3,14.6,15.1,2238.5,1,0,5,14.0,2.6,1,0.9,0.0,0.1,0,0.0,13,F,1,1
3238.4,28.5,38.5,1.6,94.0,0,37.3,0,0,0,0,2.3,2641,55.9,16.8,90.5,6.8,87,940,20.628571428571433,87.8,2.7,80.5,90.5,230,1,15,508,0.0,3040,0,1,2350.3,1,55,18.3,17.2,17.5,18.0,2342.5,1,0,5,17.0,2.1,1,0.9,0.0,0.2,0,0.5,14,F,1,1
2585.6,31.2,92.0,1.6,99.0,0,74.1,0,0,0,0,2.3,2212,56.6,15.6,95.0,4.5,87,990,21.82857142857143,89.8,2.3,78.1,94.5,230,1,15,508,0.0,3040,0,1,1744.3,2,55,19.4,18.3,18.4,19.1,1746.5,1,0,5,18.0,1.8,1,0.9,0.0,0.1,0,0.5,15,F,1,1
