Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
857.6,0.0,10.4,0.0,74.0,0,17.3,235,0,0,0,3.1,1009,17.2,16.8,-25.4,-3.4,33,1060,16.0,61.6,2.0,68.0,-24.9,230,1,15,508,0.0,3040,0,0,845.0,0,35,0.0,0.0,0.0,0.0,860.3,1,0,0,0.0,0.0,2,50.2,0.0,-5.7,308,37.8,1,H,1,0
691.2,0.0,7.5,0.0,33.0,0,15.3,235,0,0,0,3.1,1580,4.7,17.6,-29.7,9.4,33,1060,5.1,23.1,2.0,76.2,-29.6,230,1,15,508,0.0,3040,0,0,1570.0,0,35,0.0,0.0,0.0,0.0,1571.0,1,0,0,0.0,4.0,2,127.4,0.0,3.8,0,37.8,2,H,1,0
422.4,0.0,7.5,0.0,27.0,0,15.3,235,0,0,0,3.9,1470,5.1,17.2,-26.3,20.3,33,1060,5.5,16.9,2.0,74.2,-26.3,230,1,15,508,0.0,3040,0,0,1464.5,0,35,0.0,0.0,0.0,0.0,1463.3,1,0,0,0.0,0.0,2,94.3,0.0,-0.2,0,37.6,3,H,1,0
371.2,0.0,7.1,0.0,27.0,0,14.9,235,0,0,0,4.7,1302,6.3,16.4,-22.8,19.5,33,1060,6.3,17.3,2.3,71.9,-22.5,230,1,15,508,0.0,3040,0,0,1276.3,0,35,0.0,0.0,0.0,0.0,1275.0,1,0,0,0.0,0.0,2,92.3,0.0,-0.2,0,37.9,4,H,1,0
332.8,0.0,7.1,0.0,30.0,0,14.9,235,0,0,0,4.7,1163,7.8,17.2,-26.2,18.4,33,1060,7.8,19.2,2.3,69.5,-26.0,230,1,15,508,0.0,3040,0,1,1122.5,0,35,0.0,0.0,0.0,0.0,1122.3,1,0,0,0.0,0.0,2,87.0,0.0,-0.2,0,37.6,5,H,1,0
332.8,0.0,7.1,0.0,30.0,0,14.5,235,0,0,0,4.7,1113,8.6,18.8,-21.1,17.3,33,1060,8.6,19.6,2.3,69.1,-21.1,230,1,15,508,0.0,3040,0,1,1069.0,0,35,0.0,0.0,0.0,0.0,1068.5,1,0,0,0.0,0.0,2,85.1,0.0,-0.2,0,37.9,6,H,1,0
294.4,0.0,6.6,0.0,30.0,0,14.5,235,0,0,0,4.7,1053,10.9,18.8,-13.5,22.5,33,1060,10.9,19.6,2.3,68.0,-13.2,230,1,15,508,0.0,3040,0,1,1001.5,0,35,0.0,0.0,0.0,0.0,1001.5,1,0,0,0.0,0.0,2,82.2,0.0,-0.2,0,37.8,7,H,1,0
384.0,0.0,8.0,0.0,36.0,0,15.3,235,0,0,0,3.9,1033,16.0,21.1,-22.8,28.5,33,1060,16.0,25.5,2.3,67.6,-22.6,230,1,15,508,0.0,3040,0,1,974.3,0,35,0.0,0.0,0.0,0.0,975.5,1,0,0,0.0,0.0,2,78.8,0.0,-0.2,0,37.6,8,H,1,0
435.2,0.0,8.0,0.0,39.0,0,15.7,235,0,0,0,3.9,1090,15.2,25.0,-22.5,15.8,33,1060,15.2,28.2,2.3,68.4,-22.1,230,1,15,508,0.0,3040,0,1,1039.5,0,35,0.0,0.0,0.0,0.0,1040.0,1,0,0,0.0,0.0,2,78.5,0.0,-0.2,0,37.9,9,H,1,0
448.0,0.0,8.5,0.0,40.0,0,15.7,235,0,0,0,3.9,1071,17.2,26.2,-20.3,17.3,33,1060,17.2,29.4,2.3,68.0,-20.1,230,1,15,508,0.0,3040,0,1,1018.8,0,35,0.0,0.0,0.0,0.0,1019.3,1,0,0,0.0,0.0,2,72.5,0.0,-0.2,0,37.8,10,H,1,0
