Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
576.0,0.0,6.6,0.0,0.0,0,14.5,1,0,0,0,2.3,1161,15.6,11.3,-18.0,-7.9,91,630,14.5,43.9,2.3,62.9,-18.0,230,1,15,508,0.0,3040,0,0,1085.3,0,90,0.0,0.0,0.0,0.0,1097.0,1,0,0,0.0,0.0,2,27.7,0.0,-4.4,168,86.3,1,G,2,0
281.6,0.0,6.1,0.0,0.0,0,14.1,1,0,0,0,3.1,988,5.9,11.7,-7.9,-6.0,91,650,5.9,22.7,2.0,60.5,-8.0,230,1,15,508,0.0,3040,0,0,991.5,0,90,0.0,0.0,0.0,0.0,987.5,1,0,0,0.0,6.8,2,314.2,0.0,6.8,0,86.1,2,G,2,0
256.0,0.0,6.6,0.0,0.0,0,14.5,1,0,0,0,3.1,785,6.3,10.5,-7.6,-12.4,91,670,6.3,29.8,2.0,55.5,-7.7,230,1,15,508,0.0,3040,0,0,766.3,0,90,0.0,0.0,0.0,0.0,765.8,1,0,0,0.0,0.0,2,40.6,0.0,0.0,0,86.1,3,G,2,0
243.2,0.0,6.1,0.0,0.0,0,14.1,1,0,0,0,3.9,707,6.6,9.8,-5.9,-13.1,91,670,6.6,31.0,2.0,54.7,-6.1,230,1,15,508,0.0,3040,0,0,686.0,0,90,0.0,0.0,0.0,0.0,686.0,1,0,5,0.0,0.0,2,40.6,6.0,0.0,0,86.2,4,G,2,0
256.0,0.0,6.1,0.0,0.0,0,14.1,1,0,0,0,3.9,673,7.8,7.8,3.8,-13.1,91,670,7.8,33.7,2.0,53.9,4.1,230,1,15,508,0.0,3040,0,0,486.8,1,90,0.0,0.0,0.0,0.0,481.3,1,0,5,0.0,0.0,2,37.6,0.0,0.0,0,90.0,5,G,2,0
268.8,0.0,6.1,0.0,0.0,0,14.1,1,0,0,0,3.9,694,10.5,10.5,-6.4,-6.8,91,670,10.5,32.9,2.0,54.3,-6.5,230,1,15,508,0.0,3040,0,1,2.3,1,90,0.0,0.0,0.0,0.0,1.3,1,0,5,0.0,0.2,1,15.0,0.0,0.0,12,106.9,6,G,2,0
320.0,0.0,8.0,0.0,0.0,0,15.3,1,0,0,0,3.1,786,16.8,15.2,27.0,1.9,91,710,16.4,39.2,2.0,55.5,26.8,230,1,15,508,0.0,3040,0,1,225.5,1,90,1.1,0.2,0.4,1.1,228.8,1,0,5,0.0,0.4,1,0.9,0.0,0.1,40,149.4,7,G,2,0
588.8,0.0,9.9,0.0,11.0,0,16.9,1,0,0,0,2.3,1159,27.3,15.6,24.3,24.0,91,750,27.3,43.5,2.3,63.3,24.3,230,1,15,508,0.0,3040,0,1,608.5,1,90,3.9,3.3,3.3,3.8,613.5,1,0,5,4.0,0.9,1,0.9,0.0,0.2,8,140.0,8,G,2,0
601.6,0.0,10.4,0.0,10.0,0,17.3,1,0,0,0,2.3,1191,27.7,17.2,19.4,25.5,91,780,27.7,43.9,2.3,64.1,20.4,230,1,15,508,0.0,3040,0,1,987.5,1,90,6.5,6.1,6.1,6.4,990.8,1,0,5,6.0,0.5,1,1.0,0.0,0.3,28,87.6,9,G,2,0
422.4,0.0,7.1,0.0,0.0,0,14.9,1,0,0,0,2.3,1051,18.4,18.8,-6.3,15.0,91,800,18.4,32.2,2.0,61.7,-6.7,230,1,15,508,0.0,3040,0,1,1039.0,1,90,7.6,7.1,7.1,7.6,1036.3,1,0,5,7.0,0.0,1,1.0,0.0,0.0,64,25.8,10,G,2,0
