Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
601.6,0.0,6.6,0.0,0.0,0,14.5,2,0,0,0,2.3,1276,11.7,8.6,-10.1,-8.6,93,630,11.7,38.4,2.3,64.1,-10.1,230,1,15,508,0.0,3040,0,0,1219.8,0,92,0.0,0.0,0.0,0.0,1230.3,1,0,0,0.0,0.0,2,32.8,0.0,-3.2,0,92.5,1,I,2,0
256.0,0.0,6.1,0.0,0.0,0,14.1,2,0,0,0,2.3,947,5.9,7.8,-2.6,-6.4,93,650,5.9,22.7,2.0,59.0,-2.2,230,1,15,508,0.0,3040,0,0,953.0,0,92,0.0,0.0,0.0,0.0,949.0,1,0,0,0.0,8.1,2,118.6,0.0,8.1,0,92.4,2,I,2,0
256.0,0.0,6.6,0.0,0.0,0,14.5,2,0,0,0,2.3,731,7.0,6.6,3.0,-12.0,93,670,7.0,31.4,2.0,54.3,3.0,230,1,15,508,0.0,3040,0,0,714.3,0,92,0.0,0.0,0.0,0.0,713.5,1,0,0,0.0,0.0,2,36.8,0.0,0.0,0,92.8,3,I,2,0
243.2,0.0,6.1,0.0,0.0,0,14.1,2,0,0,0,2.3,685,7.0,6.3,1.4,-13.5,93,670,7.0,31.8,2.0,53.5,1.8,230,1,15,508,0.0,3040,0,0,665.5,0,92,0.0,0.0,0.0,0.0,666.0,1,0,0,0.0,0.0,2,36.7,0.0,0.0,0,92.8,4,I,2,0
243.2,0.0,6.1,0.0,0.0,0,14.1,2,0,0,0,2.3,716,7.8,10.5,-16.6,-10.9,93,670,8.2,31.8,2.0,53.9,-16.8,230,1,15,508,0.0,3040,0,1,693.3,0,92,0.0,0.0,0.0,0.0,694.8,1,0,0,0.0,0.0,2,36.4,0.0,0.0,0,92.6,5,I,2,0
268.8,0.0,6.6,0.0,0.0,0,14.5,2,0,0,0,2.3,748,8.6,15.6,-16.4,-9.4,93,670,8.6,32.5,2.0,54.3,-16.1,230,1,15,508,0.0,3040,0,1,729.8,0,92,0.0,0.0,0.0,0.0,729.8,1,0,0,0.0,0.0,2,37.4,0.0,0.0,0,92.9,6,I,2,0
243.2,0.0,6.1,0.0,0.0,0,14.1,2,0,0,0,2.3,690,10.9,15.6,-9.6,-5.3,93,670,10.9,32.9,2.0,53.5,-9.7,230,1,15,508,0.0,3040,0,1,669.8,0,92,0.0,0.0,0.0,0.0,669.8,1,0,0,0.0,0.0,2,37.4,0.0,0.0,0,92.7,7,I,2,0
243.2,0.0,6.6,0.0,0.0,0,14.1,2,0,0,0,2.3,664,13.3,16.4,-4.8,0.0,92,670,13.3,34.1,2.0,53.1,-4.8,230,1,15,508,0.0,3040,0,1,643.8,0,92,0.0,0.0,0.0,0.0,644.0,1,0,0,0.0,0.0,2,37.4,0.0,0.0,0,92.6,8,I,2,0
256.0,0.0,6.6,0.0,0.0,0,14.5,2,0,0,0,2.3,645,16.8,18.0,1.0,2.6,92,670,16.8,38.8,2.0,53.1,1.1,230,1,15,508,0.0,3040,0,1,624.5,0,92,0.0,0.0,0.0,0.0,624.8,1,0,0,0.0,0.0,2,37.4,0.0,0.0,0,92.4,9,I,2,0
307.2,0.0,7.1,0.0,0.0,0,14.9,2,0,0,0,2.3,640,19.1,18.4,4.3,1.9,92,670,19.5,43.5,2.0,53.1,4.7,230,1,15,508,0.0,3040,0,1,618.8,0,92,0.0,0.0,0.0,0.0,619.3,1,0,0,0.0,0.0,2,37.4,0.0,0.0,0,92.4,10,I,2,0
