Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
627.2,0.0,7.1,0.0,0.0,0,14.5,4,0,0,0,3.9,1226,15.6,10.2,-17.8,-6.8,92,630,13.7,44.3,2.0,63.7,-17.8,230,1,15,508,0.0,3040,0,0,1134.8,0,89,0.0,0.0,0.0,0.0,1148.5,1,0,0,0.0,0.0,2,19.4,0.0,-6.3,316,3.2,1,G,1,0
320.0,0.0,6.1,0.0,0.0,0,14.1,4,0,0,0,4.7,1109,5.1,10.5,-8.4,-4.5,92,650,5.1,21.2,2.3,62.9,-8.3,230,1,15,508,0.0,3040,0,0,1119.3,0,89,0.0,0.0,0.0,0.0,1115.3,1,0,0,0.0,-4.6,2,182.0,0.0,-4.6,0,3.3,2,G,1,0
268.8,0.0,6.6,0.0,0.0,0,14.5,4,0,0,0,5.5,834,6.3,9.4,-7.7,-8.6,92,670,6.3,27.1,2.0,56.6,-7.2,230,1,15,508,0.0,3040,0,0,816.0,0,89,0.0,0.0,0.0,0.0,815.0,1,0,0,0.0,0.0,2,25.1,0.0,0.1,0,3.2,3,G,1,0
243.2,0.0,6.1,0.0,0.0,0,14.1,4,0,0,0,5.5,741,5.5,9.0,-7.4,-12.8,92,670,5.5,28.6,2.0,54.7,-7.1,230,1,15,508,0.0,3040,0,0,718.5,0,89,0.0,0.0,0.0,0.0,718.5,1,0,0,0.0,0.0,2,24.7,0.0,0.1,0,3.2,4,G,1,0
243.2,0.0,6.1,0.0,0.0,0,14.1,4,0,0,0,5.5,720,6.6,11.3,-18.3,-10.9,92,670,6.6,29.8,2.0,54.3,-17.9,230,1,15,508,0.0,3040,0,1,697.0,0,89,0.0,0.0,0.0,0.0,697.5,1,0,0,0.0,0.0,2,24.5,0.0,0.1,36,67.9,5,G,1,0
256.0,0.0,6.6,0.0,0.0,0,14.5,4,0,0,0,5.5,726,8.2,16.0,-17.0,-9.0,92,670,8.2,31.4,2.0,54.3,-17.2,230,1,15,508,0.0,3040,0,1,703.3,0,89,0.0,0.0,0.0,0.0,703.5,1,0,0,0.0,0.0,2,24.3,0.0,0.1,36,27.0,6,G,1,0
256.0,0.0,6.6,0.0,0.0,0,14.5,4,0,0,0,5.5,670,12.5,17.6,-7.9,-2.6,91,670,12.5,34.5,2.0,53.9,-7.8,230,1,15,508,0.0,3040,0,1,648.8,0,89,0.0,0.0,0.0,0.0,648.8,1,0,0,0.0,0.0,2,24.7,0.0,0.1,0,27.1,7,G,1,0
294.4,0.0,7.1,0.0,0.0,0,14.9,4,0,0,0,5.5,630,18.4,18.8,2.3,4.5,91,670,18.4,40.8,2.0,53.5,2.2,230,1,15,508,0.0,3040,0,1,608.3,0,89,0.0,0.0,0.0,0.0,608.5,1,0,0,0.0,0.0,2,25.8,0.0,0.1,0,27.0,8,G,1,0
345.6,0.0,7.5,0.0,0.0,0,15.3,4,0,0,0,5.5,646,19.9,19.9,3.0,-2.3,91,670,20.3,48.2,2.0,53.5,3.7,230,1,15,508,0.0,3040,0,1,617.5,1,89,0.0,0.0,0.0,0.0,617.8,1,0,5,0.0,0.0,2,25.8,10.5,0.1,0,26.1,9,G,1,0
396.8,0.0,8.0,0.0,0.0,0,15.3,4,0,0,0,4.7,658,23.4,20.3,5.1,-1.9,90,670,23.4,53.3,2.0,53.5,5.5,230,1,15,508,0.0,3040,0,1,193.8,1,89,0.0,0.0,0.0,0.0,192.0,1,0,5,0.0,0.0,2,25.3,0.0,0.1,36,74.4,10,G,1,0
