Fuel_consumption,Accelerator_Pedal_value,Throttle_position_signal,Short_Term_Fuel_Trim_Bank1,Intake_air_pressure,Filtered_Accelerator_Pedal_value,Absolute_throttle_position,Engine_soacking_time,Inhibition_of_engine_fuel_cut_off,Engine_in_fuel_cut_off,Fuel_Pressure,Long_Term_Fuel_Trim_Bank1,Engine_speed,Engine_torque_after_correction,Torque_of_friction,Flywheel_torque_(after_torque_interventions),Current_spark_timing,Engine_coolant_temperature,Engine_Idel_Target_Speed,Engine_torque,Calculated_LOAD_value,Minimum_indicated_engine_torque,Maximum_indicated_engine_torque,Flywheel_torque,Torque_scaling_factor(standardization),Standard_Torque_Ratio,Requested_spark_retard_angle_from_TCU,TCU_requests_engine_torque_limit_(ETL),TCU_requested_engine_RPM_increase,Target_engine_speed_used_in_lock-up_module,Glow_plug_control_request,Activation_of_Air_compressor,Torque_converter_speed,Current_Gear,Engine_coolant_temperature.1,Wheel_velocity_front_left-hand,Wheel_velocity_rear_right-hand,Wheel_velocity_front_right-hand,Wheel_velocity_rear_left-hand,Torque_converter_turbine_speed_-_Unfiltered,Clutch_operation_acknowledge,Converter_clutch,Gear_Selection,Vehicle_speed,Acceleration_speed_-_Longitudinal,Indication_of_brake_switch_ON/OFF,Master_cylinder_pressure,Calculated_road_gradient,Acceleration_speed_-_Lateral,Steering_wheel_speed,Steering_wheel_angle,Time(s),Class,PathOrder,is_anomaly
614.4,0.0,6.6,0.0,54.0,0,14.5,3,0,0,0,3.1,1240,14.5,10.2,-15.7,-7.9,92,630,13.7,43.1,2.3,64.1,-15.7,230,1,15,508,0.0,3040,0,0,1155.3,0,89,0.0,0.0,0.0,0.0,1168.3,1,0,0,0.0,0.0,2,29.5,0.0,-6.3,316,-19.4,1,J,1,0
307.2,0.0,6.1,0.0,32.0,0,14.1,3,0,0,0,4.7,1060,5.1,9.8,-8.4,-6.0,92,650,5.1,22.0,2.0,62.1,-8.2,230,1,15,508,0.0,3040,0,0,1068.3,0,89,0.0,0.0,0.0,0.0,1064.5,1,0,0,0.0,-4.8,2,187.2,0.0,-4.7,0,-19.5,2,J,1,0
256.0,0.0,6.6,0.0,37.0,0,14.5,3,0,0,0,5.5,821,5.9,9.0,-8.8,-9.4,92,670,5.9,27.1,2.0,56.6,-8.7,230,1,15,508,0.0,3040,0,0,804.3,0,90,0.0,0.0,0.0,0.0,803.3,1,0,0,0.0,-0.1,2,13.2,0.0,-0.1,0,-19.4,3,J,1,0
256.0,0.0,6.6,0.0,40.0,0,14.1,3,0,0,0,5.5,726,5.5,8.6,-1.7,-13.5,92,670,5.5,29.8,2.0,54.7,-1.9,230,1,15,508,0.0,3040,0,0,705.0,1,90,0.0,0.0,0.0,0.0,704.3,1,0,5,0.0,-0.1,2,13.5,5.5,-0.1,0,-19.4,4,J,1,0
281.6,0.0,6.6,0.0,47.0,0,14.1,3,0,0,0,5.5,697,10.2,10.2,-6.1,-9.8,92,670,10.2,36.1,2.0,54.3,-6.4,230,1,15,508,0.0,3040,0,1,226.5,1,90,0.0,0.0,0.0,0.0,221.3,1,0,5,0.0,0.0,2,4.3,0.0,-0.1,0,-66.0,5,J,1,0
294.4,0.0,7.1,0.0,48.0,0,14.5,3,0,0,0,5.5,707,11.7,14.5,-2.6,-7.1,92,670,12.1,37.3,2.0,54.7,-2.7,230,1,15,508,0.0,3040,0,1,76.0,1,89,0.4,0.0,0.0,0.4,77.0,1,0,5,0.0,0.0,2,4.9,0.0,-0.1,88,-107.3,6,J,1,0
294.4,0.0,7.1,0.0,50.0,0,14.5,3,0,0,0,4.7,670,15.2,15.2,2.6,-3.0,92,670,15.2,39.6,2.0,53.9,2.6,230,1,15,508,0.0,3040,0,1,49.0,1,89,0.4,0.0,0.0,0.4,50.0,1,0,5,0.0,-0.3,2,11.3,0.0,-0.1,12,-102.6,7,J,1,0
332.8,0.0,7.1,0.0,55.0,0,14.9,3,0,0,0,4.7,642,18.8,17.2,-2.2,-0.4,91,670,19.1,44.7,2.0,53.9,-1.8,230,1,15,508,0.0,3040,0,1,96.3,0,89,0.0,0.0,0.0,0.0,104.5,1,0,0,0.0,-0.1,2,19.1,11.5,-0.1,0,-102.7,8,J,1,0
460.8,0.0,7.1,0.0,56.0,0,14.9,3,0,0,0,4.7,651,19.9,19.5,-2.3,0.0,91,670,19.9,45.1,2.0,53.9,-1.9,230,1,15,508,0.0,3040,0,1,630.8,0,89,0.0,0.0,0.0,0.0,631.3,1,0,0,0.0,-0.1,2,20.2,0.0,-0.1,0,-99.5,9,J,1,0
345.6,0.0,7.1,0.0,58.0,0,14.9,3,0,0,0,4.7,665,19.9,20.3,-1.9,-1.9,90,670,19.9,47.1,2.0,53.9,-1.8,230,1,15,508,0.0,3040,0,1,644.5,0,89,0.0,0.0,0.0,0.0,645.3,1,0,0,0.0,-0.1,2,20.2,0.0,-0.1,0,-99.6,10,J,1,0
345.6,0.0,7.1,0.0,58.0,0,14.9,3,0,0,0,4.7,668,19.5,20.3,-1.1,-2.3,90,670,19.5,46.7,2.0,53.9,-1.1,230,1,15,508,0.0,3040,0,1,647.3,0,89,0.0,0.0,0.0,0.0,647.8,1,0,0,0.0,-0.1,2,20.2,0.0,-0.1,0,-99.6,11,J,1,0
345.6,0.0,7.1,-0.8,58.0,0,14.9,3,0,0,0,4.7,662,19.5,19.1,1.1,-2.3,90,670,19.5,46.7,2.0,53.9,1.2,230,1,15,508,0.0,3040,0,1,639.0,14,89,0.0,0.0,0.0,0.0,639.5,1,0,7,0.0,-0.1,2,20.3,0.0,-0.1,0,-99.5,12,J,1,0
371.2,0.0,7.5,-0.8,64.0,0,15.3,3,0,0,0,4.7,657,22.3,17.6,14.8,-3.0,90,670,22.3,52.2,2.0,53.9,15.1,230,1,15,508,0.0,3040,0,1,317.3,14,89,0.0,0.0,0.0,0.0,321.5,1,0,7,0.0,-0.1,2,18.5,0.0,-0.1,0,-99.4,13,J,1,0
384.0,0.0,7.5,0.0,65.0,0,15.3,3,0,0,0,4.7,656,23.0,16.8,14.8,-3.4,90,670,23.0,54.1,2.0,53.9,15.5,230,1,15,508,0.0,3040,0,1,0.0,14,89,0.1,0.0,0.0,0.0,0.0,1,0,7,0.0,-0.1,2,10.1,0.0,-0.1,4,2.4,14,J,1,0
396.8,0.0,7.5,0.0,65.0,0,15.3,3,0,0,0,4.7,658,23.4,16.4,14.2,-3.4,90,670,23.4,53.7,2.0,54.3,14.4,230,1,15,508,0.0,3040,0,1,6.0,14,89,0.0,0.0,0.0,0.1,4.8,1,0,7,0.0,-0.2,2,1.6,0.0,-0.1,24,-23.7,15,J,1,0
396.8,0.0,7.5,0.8,64.0,0,15.3,3,0,0,0,4.7,662,23.4,16.4,15.5,-2.6,90,670,23.4,53.3,2.0,53.9,16.0,230,1,15,508,0.0,3040,0,1,55.8,14,89,0.4,0.0,0.0,0.4,56.3,1,0,7,0.0,-0.1,2,3.6,0.0,-0.1,4,-26.8,16,J,1,0
396.8,0.0,7.5,0.0,64.0,0,15.3,3,0,0,0,4.7,663,23.4,16.4,15.2,-1.5,90,670,23.4,52.9,2.0,53.9,15.4,230,1,15,508,0.0,3040,0,1,22.3,14,89,0.3,0.0,0.0,0.3,22.3,1,0,7,0.0,0.0,2,6.2,0.0,-0.1,0,-26.6,17,J,1,0
371.2,0.0,7.5,0.0,64.0,0,15.3,3,0,0,0,4.7,660,23.0,16.8,11.6,-2.6,90,670,23.0,52.9,2.0,53.9,11.5,230,1,15,508,0.0,3040,0,1,0.0,0,89,0.0,0.0,0.0,0.0,0.0,1,0,6,0.0,-0.1,2,8.6,0.0,-0.1,0,-26.6,18,J,1,0
358.4,0.0,7.1,-0.8,58.0,0,14.5,3,0,0,0,4.7,669,19.5,17.6,3.9,-3.8,90,670,19.5,47.5,2.0,53.9,4.4,230,1,15,508,0.0,3040,0,1,650.0,0,89,0.0,0.0,0.0,0.0,651.3,1,0,6,0.0,-0.1,2,17.7,-3.5,-0.1,0,-26.7,19,J,1,0
358.4,0.0,7.5,-2.3,61.0,0,15.3,3,0,0,0,4.7,658,21.1,16.8,13.7,-3.0,90,670,21.1,49.4,2.0,53.9,14.2,230,1,15,508,0.0,3040,0,1,498.0,1,89,0.0,0.0,0.0,0.0,492.8,1,0,5,0.0,-0.1,2,20.9,0.0,-0.1,0,-26.6,20,J,1,0
384.0,0.0,7.5,-1.6,64.0,0,15.3,3,0,0,0,4.7,658,23.4,16.4,15.7,-2.6,90,670,23.4,53.3,2.0,53.9,17.2,230,1,15,508,0.0,3040,0,1,5.5,1,89,0.0,0.0,0.0,0.0,4.5,1,0,5,0.0,-0.1,2,20.5,0.0,-0.1,0,-26.8,21,J,1,0
384.0,0.0,7.5,0.0,65.0,0,15.3,3,0,0,0,4.7,662,23.4,16.4,15.6,-3.4,90,670,23.4,54.1,2.0,53.9,15.6,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,20.5,0.0,-0.1,0,-26.7,22,J,1,0
384.0,0.0,7.5,0.0,65.0,0,15.3,3,0,0,0,4.7,666,23.0,16.4,14.3,-3.4,90,670,23.4,53.7,2.0,54.3,14.9,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,17.1,0.0,-0.1,0,-26.6,23,J,1,0
384.0,0.0,7.5,-0.8,64.0,0,15.3,3,0,0,0,4.7,664,23.4,16.4,16.2,-2.6,90,670,23.4,52.9,2.0,54.3,16.1,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,16.8,0.0,-0.1,0,-27.0,24,J,1,0
384.0,0.0,7.5,0.0,64.0,0,15.3,3,0,0,0,4.7,666,23.4,16.4,15.1,-2.3,90,670,23.4,52.9,2.0,54.3,15.5,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,17.4,0.0,-0.1,0,-26.5,25,J,1,0
371.2,0.0,7.5,-0.8,64.0,0,15.3,3,0,0,0,4.7,666,23.4,16.4,15.4,-2.3,90,670,23.4,52.9,2.0,54.3,15.8,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,24.6,0.0,-0.1,0,-26.6,26,J,1,0
396.8,0.0,7.5,0.0,64.0,0,15.3,3,0,0,0,4.7,667,23.4,16.4,15.8,-1.9,90,670,23.4,52.5,2.0,54.3,15.7,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,19.4,0.0,-0.1,0,-26.6,27,J,1,0
384.0,0.0,7.5,-0.8,65.0,0,15.3,3,0,0,0,4.7,667,23.4,16.4,15.8,-3.0,90,670,23.4,53.3,2.0,54.3,15.9,230,1,15,508,0.0,3040,0,1,0.0,1,89,0.0,0.0,0.0,0.0,0.0,1,0,5,0.0,-0.1,2,13.7,0.0,-0.1,0,-26.8,28,J,1,0
384.0,0.0,7.5,-0.8,65.0,0,15.3,3,0,0,0,4.7,673,23.4,16.4,16.8,-2.6,90,670,23.4,53.3,2.0,54.3,17.2,230,1,15,508,0.0,3040,0,1,33.3,1,89,0.4,0.0,0.0,0.4,34.8,1,0,5,0.0,0.1,1,2.0,0.0,-0.1,0,-26.5,29,J,1,0
422.4,0.0,8.5,-0.8,65.0,0,15.7,3,0,0,0,3.9,705,24.6,16.4,16.5,0.8,90,720,25.0,53.7,2.0,54.3,16.4,230,1,15,508,0.0,3040,0,1,270.5,1,89,1.6,0.8,0.7,1.6,273.3,1,0,5,0.0,0.3,1,0.9,0.0,-0.1,0,-45.5,30,J,1,0
435.2,0.0,8.5,-1.6,64.0,0,15.7,3,0,0,0,3.9,754,23.4,16.0,20.5,-1.1,90,760,23.4,53.3,2.0,55.1,20.9,230,1,15,508,0.0,3040,0,1,478.5,1,89,3.3,2.1,2.1,3.3,480.8,1,0,5,2.0,0.2,2,1.0,0.0,-0.1,28,37.8,31,J,1,0
435.2,0.0,8.5,-2.3,64.0,0,15.7,3,0,0,0,3.9,754,24.2,16.4,12.9,1.1,90,760,24.2,52.9,2.0,55.1,13.2,230,1,15,508,0.0,3040,0,1,622.5,1,89,4.0,4.0,4.0,3.9,624.0,1,0,5,4.0,0.0,1,1.3,0.0,0.2,216,252.6,32,J,1,0
435.2,0.0,8.0,-2.3,60.0,0,15.3,3,0,0,0,3.9,795,20.7,16.4,12.9,-2.6,90,780,20.7,49.8,2.0,55.5,13.4,230,1,15,508,0.0,3040,0,1,719.8,1,89,4.5,4.1,4.1,4.3,721.0,1,0,5,5.0,-0.1,1,1.0,0.0,0.2,44,324.0,33,J,1,0
396.8,0.0,7.5,-2.3,58.0,0,15.3,3,0,0,0,3.9,800,20.3,15.6,11.2,-0.4,90,800,20.3,47.1,2.0,55.5,11.4,230,1,15,508,0.0,3040,0,1,751.8,1,89,4.5,4.1,4.3,4.0,752.5,1,0,5,5.0,-0.3,1,1.0,0.0,0.4,148,470.7,34,J,1,0
537.6,6.6,10.4,-3.9,63.0,0,16.9,3,0,0,0,3.1,973,28.5,15.2,48.0,14.6,90,820,28.5,51.4,2.0,59.4,48.1,230,1,15,508,0.0,3040,0,1,809.5,1,89,4.6,4.2,5.4,3.6,811.8,1,0,5,6.0,-0.1,1,1.0,0.0,0.6,56,513.4,35,J,1,0
