filename,start_idx,end_idx,pedal_col,details,status
2017-07-05_Seat_Leon_RT_S_Stau.csv,16318,16347,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.800, effect_rpm=509.137",success
2017-07-05_Seat_Leon_S_KA_Normal.csv,27098,27127,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=8.075, effect_rpm=189.620",success
2017-07-06_Seat_Leon_KA_KA_Normal.csv,9588,9617,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.017, effect_rpm=655.690",success
2017-07-06_Seat_Leon_KA_RT_Normal.csv,,,Accelerator Pedal Position D [%],,skipped: no valid window meeting constraints
2017-07-07_Seat_Leon_RT_S_Normal.csv,22980,23009,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=2.470, effect_rpm=241.427",success
2017-07-07_Seat_Leon_S_RT_Normal.csv,112,141,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.600, effect_rpm=462.333",success
2017-07-10_Seat_Leon_KA_KA_Stau.csv,,,Accelerator Pedal Position D [%],,skipped: no valid window meeting constraints
2017-07-11_Seat_Leon_KA_KA_Stau.csv,4717,4746,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.157, effect_rpm=251.623",success
2017-07-11_Seat_Leon_KA_S_Normal.csv,8230,8259,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=9.468, effect_rpm=361.760",success
2017-07-11_Seat_Leon_S_RT_Frei.csv,2624,2653,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.465, effect_rpm=348.587",success
2017-07-12_Seat_Leon_RT_S_Normal.csv,18328,18357,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.592, effect_rpm=281.707",success
2017-07-12_Seat_Leon_S_RT_Normal.csv,3389,3418,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.143, effect_rpm=214.827",success
2017-07-13_Seat_Leon_KA_KA_Normal.csv,970,999,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=3.230, effect_rpm=206.087",success
2017-07-13_Seat_Leon_RT_KA_Stau_Messfehler.csv,28751,28780,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=6.397, effect_rpm=174.103",success
2017-07-14_Seat_Leon_KA_KA_Frei.csv,,,Accelerator Pedal Position D [%],,skipped: no valid window meeting constraints
2017-07-14_Seat_Leon_KA_RT_Normal.csv,6835,6864,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=4.117, effect_rpm=207.005",success
2017-07-24_Seat_Leon_RT_KA_Normal.csv,16391,16420,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=7.093, effect_rpm=194.972",success
2017-07-26_Seat_Leon_RT_S_Stau.csv,46018,46047,Accelerator Pedal Position D [%],"alpha=0.05, L=30, effect_speed=5.542, effect_rpm=554.610",success
