fuel_usage,accelerator_position,throttle_position,short_fuel_bank,inhale_pressure,accelerator_position_filtered,throttle_position_abs,engine_pressure_maintanance_time,reduce_block_fuel,block_fuel,fuel_pressure,long_fuel_bank,engine_speed,engine_torque_revised,friction_torque,flywheel_torque_revised,current_fire_timing,cooling_temperature,engine_idle_slippage,engine_torque,calculation_overhead,engine_torque_min,engine_torque_max,flywheel_torque,torque_transform_coeff,standard_torque_ratio,fire_angle_delay_tcu,engine_torque_limit_tcu,engine_velocity_increase_tcu,target_engine_velocity_lockup,glow_plug_limit_request,compressor_activation,torque_converter_speed,current_gear,mission_oil_temp,wheel_velo_frontleft,wheel_velo_backright,wheel_velo_frontright,wheel_velo_backleft,torque_converter_turbin_speed,clutch_check,converter_clutch,gear_choice,car_speed,logitude_acceleration,brake_switch,brake_sylinder,road_slope,latitude_acceleration,steering_wheel_acceleration,steering_wheel_angle,is_anomaly
1036.8,0.0,0.0,0.0,66,0.0,14.5,0,0,0,0,0.0,1201.0,23.0,16.0,0.0,0.0,45,910,23.0,68.2,16.4,64.5,0.0,280,1.0,15.0,508,0.0,500,0,0,1028.8,0,31,0.0,0.0,0.0,0.0,1028.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
486.4,0.0,0.0,0.0,33,0.0,13.3,0,0,0,0,0.0,1130.0,13.3,17.6,0.0,11.6,45,910,13.3,34.1,4.7,63.3,0.0,280,1.0,15.0,508,0.0,500,0,0,1097.0,0,31,0.0,0.0,0.0,0.0,1097.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
460.8,0.0,0.0,0.0,35,0.0,13.3,0,0,0,0,0.0,973.0,15.6,16.8,0.0,15.8,45,910,15.6,36.1,5.9,62.1,0.0,280,1.0,15.0,508,0.0,500,0,0,903.0,0,31,0.0,0.0,0.0,0.0,903.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
422.4,0.0,0.0,0.0,35,0.0,13.3,0,0,0,0,0.0,958.0,15.2,16.4,0.0,15.4,45,910,15.2,36.5,5.9,61.7,0.0,280,1.0,15.0,508,0.0,500,0,0,879.3,0,31,0.0,0.0,0.0,0.0,879.3,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
435.2,0.0,0.0,0.0,37,0.0,13.3,0,0,0,0,0.0,940.0,16.4,16.4,0.0,14.3,45,910,16.4,38.0,6.3,61.3,0.0,280,1.0,15.0,508,0.0,500,0,0,843.5,0,31,0.0,0.0,0.0,0.0,843.5,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
473.6,0.0,0.0,0.0,39,0.0,13.3,0,0,0,0,0.0,892.0,18.4,16.8,0.0,18.8,45,910,18.4,40.4,8.2,60.2,0.0,280,1.0,15.0,508,0.0,500,0,0,789.5,0,31,0.0,0.0,0.0,0.0,789.5,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
473.6,0.0,0.0,0.0,42,0.0,13.3,0,0,0,0,0.0,915.0,17.2,16.4,0.0,6.4,45,900,17.2,43.1,8.2,60.5,0.0,280,1.0,15.0,508,0.0,500,0,0,805.0,0,32,0.0,0.0,0.0,0.0,805.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
409.6,0.0,0.0,0.0,39,0.0,13.3,0,0,0,0,0.0,896.0,17.2,16.0,0.0,15.0,46,900,17.2,40.0,7.8,59.8,0.0,280,1.0,15.0,508,0.0,500,0,0,786.0,0,32,0.0,0.0,0.0,0.0,786.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
435.2,0.0,0.0,0.0,40,0.0,13.3,0,0,0,0,0.0,880.0,18.0,16.0,0.0,15.4,46,900,18.0,40.8,8.2,59.4,0.0,280,1.0,15.0,508,0.0,500,0,1,769.8,0,32,0.0,0.0,0.0,0.0,769.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
460.8,0.0,0.0,0.0,41,0.0,13.7,0,0,0,0,0.0,902.0,17.2,15.6,0.0,7.5,47,890,17.2,42.0,8.2,60.2,0.0,280,1.0,15.0,400,0.0,500,0,1,789.3,0,32,0.0,0.0,0.0,0.0,789.3,0,0,5,0.0,-10.2,2,0.0,0.0,-10.2,0,3.1,0
