fuel_usage,accelerator_position,throttle_position,short_fuel_bank,inhale_pressure,accelerator_position_filtered,throttle_position_abs,engine_pressure_maintanance_time,reduce_block_fuel,block_fuel,fuel_pressure,long_fuel_bank,engine_speed,engine_torque_revised,friction_torque,flywheel_torque_revised,current_fire_timing,cooling_temperature,engine_idle_slippage,engine_torque,calculation_overhead,engine_torque_min,engine_torque_max,flywheel_torque,torque_transform_coeff,standard_torque_ratio,fire_angle_delay_tcu,engine_torque_limit_tcu,engine_velocity_increase_tcu,target_engine_velocity_lockup,glow_plug_limit_request,compressor_activation,torque_converter_speed,current_gear,mission_oil_temp,wheel_velo_frontleft,wheel_velo_backright,wheel_velo_frontright,wheel_velo_backleft,torque_converter_turbin_speed,clutch_check,converter_clutch,gear_choice,car_speed,logitude_acceleration,brake_switch,brake_sylinder,road_slope,latitude_acceleration,steering_wheel_acceleration,steering_wheel_angle,is_anomaly
1612.8,0.0,0.0,0.0,58,0.0,17.3,255,0,0,0,0.8,1510.0,21.5,18.4,0.0,-3.8,28,1520,21.5,60.0,12.5,69.5,0.0,280,1.0,15.0,508,0.0,500,0,0,1477.3,0,29,0.0,0.0,0.0,0.0,1477.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
1574.4,0.0,0.0,0.0,62,0.0,17.6,255,0,0,0,0.8,1496.0,21.1,17.6,0.0,-5.6,28,1520,21.1,63.9,13.3,69.1,0.0,280,1.0,15.0,508,0.0,500,0,0,1453.5,0,29,0.0,0.0,0.0,0.0,1453.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
1446.4,0.0,0.0,0.0,60,0.0,17.6,255,0,0,0,0.8,1504.0,20.3,17.2,0.0,-5.6,28,1520,20.3,62.0,13.3,69.5,0.0,280,1.0,15.0,508,0.0,500,0,0,1454.5,0,29,0.0,0.0,0.0,0.0,1454.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
1408.0,0.0,0.0,0.0,61,0.0,17.6,255,0,0,0,0.8,1485.0,21.5,16.8,0.0,-5.3,28,1520,21.5,63.1,12.9,69.1,0.0,280,1.0,15.0,508,0.0,500,0,0,1433.5,0,29,0.0,0.0,0.0,0.0,1433.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
1395.2,0.0,0.0,0.0,62,0.0,17.6,255,0,0,0,0.8,1484.0,21.5,16.8,0.0,-5.3,28,1510,21.5,63.1,12.9,68.8,0.0,280,1.0,15.0,508,0.0,500,0,0,1427.0,0,29,0.0,0.0,0.0,0.0,1427.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
1382.4,0.0,0.0,0.0,62,0.0,17.6,255,0,0,0,0.8,1468.0,22.3,16.4,0.0,-4.9,29,1510,22.3,64.3,12.9,68.4,0.0,280,1.0,15.0,508,0.0,500,0,1,1396.8,0,29,0.0,0.0,0.0,0.0,1396.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
1164.8,0.0,0.0,0.0,55,0.0,16.5,255,0,0,0,0.8,1513.0,19.5,16.4,0.0,-1.9,29,1500,19.5,56.9,10.5,69.5,0.0,280,1.0,15.0,508,0.0,500,0,1,1433.0,0,29,0.0,0.0,0.0,0.0,1433.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
832.0,0.0,0.0,0.0,41,0.0,15.3,255,0,0,0,0.8,1568.0,16.4,16.4,0.0,7.9,29,1500,16.4,43.1,5.9,69.9,0.0,280,1.0,15.0,508,0.0,500,0,1,1499.3,0,29,0.0,0.0,0.0,0.0,1499.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
844.8,0.0,0.0,0.0,41,0.0,15.7,255,0,0,0,0.8,1518.0,17.6,16.0,0.0,9.8,29,1500,17.6,43.1,5.9,69.5,0.0,280,1.0,15.0,508,0.0,500,0,1,1443.0,0,29,0.0,0.0,0.0,0.0,1443.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
870.4,0.0,0.0,0.0,43,0.0,15.7,255,0,0,0,0.8,1510.0,18.4,17.2,0.0,9.8,30,1490,18.4,44.3,6.6,69.5,0.0,280,1.0,15.0,508,0.0,500,0,1,1428.0,0,29,0.0,0.0,0.0,0.0,1428.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
947.2,0.0,0.0,0.0,44,0.0,16.1,255,0,0,0,0.8,1525.0,19.1,18.4,0.0,8.3,30,1490,19.1,46.3,7.0,69.9,0.0,280,1.0,15.0,508,0.0,500,0,1,1441.3,0,29,0.0,0.0,0.0,0.0,1441.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
921.6,0.0,0.0,-0.8,45,0.0,16.1,255,0,0,0,0.8,1531.0,18.8,18.8,0.0,7.5,30,1490,18.8,46.3,7.4,69.9,0.0,280,1.0,15.0,508,0.0,500,0,1,1452.8,0,29,0.0,0.0,0.0,0.0,1452.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
870.4,0.0,0.0,-0.8,44,0.0,15.7,255,0,0,0,0.8,1512.0,18.0,18.8,0.0,7.5,30,1460,18.0,45.1,7.0,69.5,0.0,280,1.0,15.0,508,0.0,500,0,1,1432.5,0,29,0.0,0.0,0.0,0.0,1432.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
857.6,0.0,0.0,0.0,44,0.0,15.7,255,0,0,0,0.8,1466.0,18.8,18.8,0.0,7.9,30,1430,18.8,45.1,7.0,68.4,0.0,280,1.0,15.0,508,0.0,500,0,1,1383.0,0,30,0.0,0.0,0.0,0.0,1383.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
819.2,0.0,0.0,0.0,43,0.0,15.7,255,0,0,0,0.8,1451.0,18.4,17.6,0.0,7.9,30,1430,18.4,44.3,7.0,68.0,0.0,280,1.0,15.0,508,0.0,500,0,1,1364.8,0,30,0.0,0.0,0.0,0.0,1364.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
780.8,0.0,0.0,0.0,42,0.0,15.3,255,0,0,0,0.8,1414.0,18.4,17.6,0.0,8.3,30,1390,18.4,43.5,7.0,67.2,0.0,280,1.0,15.0,508,0.0,500,0,1,1327.8,0,30,0.0,0.0,0.0,0.0,1327.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
780.8,0.0,0.0,0.8,42,0.0,15.3,255,0,0,0,0.8,1383.0,18.8,17.6,0.0,9.0,31,1380,18.8,43.5,7.4,66.8,0.0,280,1.0,15.0,508,0.0,500,0,1,1293.3,0,30,0.0,0.0,0.0,0.0,1293.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.1,0
793.6,0.0,0.0,0.8,42,0.0,15.3,255,0,0,0,0.8,1383.0,18.8,18.0,0.0,7.9,31,1370,18.8,44.3,9.8,66.8,0.0,280,1.0,15.0,508,0.0,500,0,1,1294.0,0,30,0.0,0.0,0.0,0.0,1294.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
780.8,0.0,0.0,0.8,42,0.0,15.3,255,0,0,0,0.8,1366.0,18.0,18.0,0.0,7.1,31,1340,18.0,43.9,9.4,66.4,0.0,280,1.0,15.0,508,0.0,500,0,1,1277.8,0,30,0.0,0.0,0.0,0.0,1277.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
768.0,0.0,0.0,0.8,43,0.0,15.3,255,0,0,0,0.8,1346.0,18.4,18.4,0.0,7.1,32,1330,18.4,44.3,9.8,66.0,0.0,280,1.0,15.0,508,0.0,500,0,1,1255.5,0,30,0.0,0.0,0.0,0.0,1255.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,-5.2,0
