fuel_usage,accelerator_position,throttle_position,short_fuel_bank,inhale_pressure,accelerator_position_filtered,throttle_position_abs,engine_pressure_maintanance_time,reduce_block_fuel,block_fuel,fuel_pressure,long_fuel_bank,engine_speed,engine_torque_revised,friction_torque,flywheel_torque_revised,current_fire_timing,cooling_temperature,engine_idle_slippage,engine_torque,calculation_overhead,engine_torque_min,engine_torque_max,flywheel_torque,torque_transform_coeff,standard_torque_ratio,fire_angle_delay_tcu,engine_torque_limit_tcu,engine_velocity_increase_tcu,target_engine_velocity_lockup,glow_plug_limit_request,compressor_activation,torque_converter_speed,current_gear,mission_oil_temp,wheel_velo_frontleft,wheel_velo_backright,wheel_velo_frontright,wheel_velo_backleft,torque_converter_turbin_speed,clutch_check,converter_clutch,gear_choice,car_speed,logitude_acceleration,brake_switch,brake_sylinder,road_slope,latitude_acceleration,steering_wheel_acceleration,steering_wheel_angle,is_anomaly
448.0,0.0,0.0,-6.3,58,0.0,13.7,0,0,0,0,1.6,713.0,26.2,18.0,0.0,3.8,86,770,26.2,59.2,22.3,56.6,0.0,280,1.0,15.0,508,0.0,500,0,1,383.0,1,46,4.6,3.7,3.7,4.6,383.0,0,0,5,3.0,-10.2,2,0.0,0.5,-10.2,4,-24.1,0
384.0,0.0,0.0,-6.3,59,0.0,13.3,0,0,0,0,1.6,662.0,22.7,17.6,0.0,-4.5,86,640,22.7,59.6,21.5,56.3,0.0,280,1.0,15.0,508,0.0,500,0,1,11.5,1,46,0.1,0.0,0.0,0.3,11.5,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-24.5,0
320.0,0.0,0.0,-7.0,56,0.0,13.3,0,0,0,0,1.6,614.0,21.1,17.6,0.0,-4.1,86,600,21.1,56.9,19.5,56.3,0.0,280,1.0,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
332.8,0.0,0.0,-8.6,54,0.0,12.9,0,0,0,0,1.6,614.0,21.1,17.6,0.0,-2.3,86,600,21.1,55.3,19.1,56.3,0.0,280,1.0,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
294.4,0.0,0.0,-9.4,52,0.0,12.9,0,0,0,0,1.6,615.0,20.7,17.6,0.0,1.5,86,600,20.7,52.9,18.0,55.9,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
294.4,0.0,0.0,-7.8,52,0.0,12.9,0,0,0,0,1.6,611.0,20.7,17.6,0.0,1.1,86,600,20.7,52.9,18.0,56.3,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
307.2,0.0,0.0,-6.3,52,0.0,12.9,0,0,0,0,1.6,611.0,20.7,17.6,0.0,1.1,87,600,20.7,52.5,18.0,55.9,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
281.6,0.0,0.0,-6.3,52,0.0,12.9,0,0,0,0,1.6,609.0,20.7,17.6,0.0,2.3,87,600,20.7,52.5,17.6,55.9,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
307.2,0.0,0.0,-6.3,51,0.0,12.9,0,0,0,0,1.6,611.0,20.7,17.6,0.0,2.6,87,600,20.7,51.8,17.6,56.3,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
281.6,0.0,0.0,-6.3,51,0.0,12.9,0,0,0,0,1.6,608.0,20.7,17.6,0.0,4.1,87,600,20.7,51.8,17.2,55.9,0.0,280,0.9,15.0,508,0.0,500,0,1,0.0,1,46,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,2,0.0,0.5,-10.2,0,-23.5,0
