fuel_usage,accelerator_position,throttle_position,short_fuel_bank,inhale_pressure,accelerator_position_filtered,throttle_position_abs,engine_pressure_maintanance_time,reduce_block_fuel,block_fuel,fuel_pressure,long_fuel_bank,engine_speed,engine_torque_revised,friction_torque,flywheel_torque_revised,current_fire_timing,cooling_temperature,engine_idle_slippage,engine_torque,calculation_overhead,engine_torque_min,engine_torque_max,flywheel_torque,torque_transform_coeff,standard_torque_ratio,fire_angle_delay_tcu,engine_torque_limit_tcu,engine_velocity_increase_tcu,target_engine_velocity_lockup,glow_plug_limit_request,compressor_activation,torque_converter_speed,current_gear,mission_oil_temp,wheel_velo_frontleft,wheel_velo_backright,wheel_velo_frontright,wheel_velo_backleft,torque_converter_turbin_speed,clutch_check,converter_clutch,gear_choice,car_speed,logitude_acceleration,brake_switch,brake_sylinder,road_slope,latitude_acceleration,steering_wheel_acceleration,steering_wheel_angle
576.0,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,1.6,1069,16.8,17.2,0.0,15.0,30,1030,16.8,38.4,5.5,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,970.3,0,29,0.0,0.0,0.0,0.0,970.3,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
537.6,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,1.6,1037,17.2,16.0,0.0,13.9,30,1030,17.2,39.2,5.5,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,928.8,0,29,0.0,0.0,0.0,0.0,928.8,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
537.6,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1022,17.2,15.2,0.0,13.5,30,1030,17.2,39.2,5.9,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,909.0,0,29,0.0,0.0,0.0,0.0,909.0,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
524.8,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1027,17.2,15.6,0.0,13.9,30,1030,17.2,39.6,5.5,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,912.5,0,29,0.0,0.0,0.0,0.0,912.5,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
524.8,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1016,17.2,14.8,0.0,13.1,30,1030,17.2,39.6,5.9,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,900.0,0,29,0.0,0.0,0.0,0.0,900.0,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
499.2,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1014,17.2,14.8,0.0,13.5,30,1030,17.2,39.6,5.9,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,898.0,0,29,0.0,0.0,0.0,0.0,898.0,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
524.8,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1006,17.2,14.1,0.0,13.1,30,1030,17.2,40.0,5.9,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,890.8,0,29,0.0,0.0,0.0,0.0,890.8,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
524.8,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1014,17.6,14.5,0.0,14.3,30,1030,17.6,40.0,6.3,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,898.0,0,29,0.0,0.0,0.0,0.0,898.0,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
499.2,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1012,17.6,14.1,0.0,13.1,30,1030,17.6,40.4,6.3,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,896.0,0,29,0.0,0.0,0.0,0.0,896.0,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
512.0,0.0,0.0,0.0,0,0.0,14.1,0,0,0,0,2.3,1018,17.6,14.1,0.0,13.9,31,1020,17.6,40.0,6.3,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,902.3,0,29,0.0,0.0,0.0,0.0,902.3,0,0,0,0,-10.2,2,0.0,0.0,-10.2,0,2.6
