fuel_usage,accelerator_position,throttle_position,short_fuel_bank,inhale_pressure,accelerator_position_filtered,throttle_position_abs,engine_pressure_maintanance_time,reduce_block_fuel,block_fuel,fuel_pressure,long_fuel_bank,engine_speed,engine_torque_revised,friction_torque,flywheel_torque_revised,current_fire_timing,cooling_temperature,engine_idle_slippage,engine_torque,calculation_overhead,engine_torque_min,engine_torque_max,flywheel_torque,torque_transform_coeff,standard_torque_ratio,fire_angle_delay_tcu,engine_torque_limit_tcu,engine_velocity_increase_tcu,target_engine_velocity_lockup,glow_plug_limit_request,compressor_activation,torque_converter_speed,current_gear,mission_oil_temp,wheel_velo_frontleft,wheel_velo_backright,wheel_velo_frontright,wheel_velo_backleft,torque_converter_turbin_speed,clutch_check,converter_clutch,gear_choice,car_speed,logitude_acceleration,brake_switch,brake_sylinder,road_slope,latitude_acceleration,steering_wheel_acceleration,steering_wheel_angle,is_anomaly
793.6,0.0,0.0,0.0,48,0.0,14.1,0,0,0,0,0.8,1009.0,20.7,18.0,0.0,4.5,33,1000,20.7,49.0,10.2,62.5,0.0,280,1.0,15.0,508,0.0,500,0,0,920.8,0,31,0.0,0.0,0.0,0.0,920.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
704.0,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,0.8,1058.0,18.0,17.6,0.0,7.1,33,1000,18.0,43.5,7.4,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,964.0,0,31,0.0,0.0,0.0,0.0,964.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
614.4,0.0,0.0,0.0,39,0.0,13.7,0,0,0,0,1.6,1058.0,16.8,16.8,0.0,11.3,34,1000,16.8,40.0,5.9,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,962.0,0,31,0.0,0.0,0.0,0.0,962.0,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
550.4,0.0,0.0,0.0,38,0.0,13.7,0,0,0,0,1.6,1033.0,16.8,16.4,0.0,12.0,34,1000,16.8,39.2,6.3,62.9,0.0,280,1.0,15.0,508,0.0,500,0,0,934.8,0,31,0.0,0.0,0.0,0.0,934.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,0.0,37,0.0,13.7,0,0,0,0,1.6,998.0,16.4,14.5,0.0,15.4,34,1000,16.4,38.0,6.3,62.5,0.0,280,1.0,15.0,508,0.0,500,0,0,894.3,0,31,0.0,0.0,0.0,0.0,894.3,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,37,0.0,13.7,0,0,0,0,1.6,999.0,16.8,14.8,0.0,18.4,34,990,16.8,38.0,6.3,62.5,0.0,280,1.0,15.0,508,0.0,500,0,0,891.8,0,31,0.0,0.0,0.0,0.0,891.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,38,0.0,13.7,0,0,0,0,1.6,981.0,16.4,14.1,0.0,12.0,35,990,16.4,38.8,7.0,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,874.3,0,31,0.0,0.0,0.0,0.0,874.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,0.0,38,0.0,13.7,0,0,0,0,1.6,978.0,16.8,13.7,0.0,15.8,35,990,16.8,38.4,6.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,870.8,0,31,0.0,0.0,0.0,0.0,870.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
537.6,0.0,0.0,0.0,39,0.0,13.7,0,0,0,0,1.6,1011.0,18.0,16.8,0.0,18.8,35,990,18.0,39.6,6.6,62.5,0.0,280,1.0,15.0,508,0.0,500,0,1,901.5,0,31,0.0,0.0,0.0,0.0,901.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
563.2,0.0,0.0,0.0,40,0.0,14.1,0,0,0,0,1.6,1032.0,17.2,16.8,0.0,8.6,35,990,17.2,41.6,6.6,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,928.5,0,31,0.0,0.0,0.0,0.0,928.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
524.8,0.0,0.0,0.0,40,0.0,14.1,0,0,0,0,1.6,1015.0,17.6,17.2,0.0,12.0,36,990,17.6,40.8,6.6,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,910.0,0,31,0.0,0.0,0.0,0.0,910.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,0.0,40,0.0,13.7,0,0,0,0,1.6,999.0,17.6,16.4,0.0,10.9,36,990,17.6,41.2,6.6,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,893.5,0,31,0.0,0.0,0.0,0.0,893.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,-2.3,40,0.0,13.7,0,0,0,0,1.6,1002.0,18.0,16.8,0.0,13.9,36,990,18.0,40.4,6.6,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,895.3,0,31,0.0,0.0,0.0,0.0,895.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
537.6,0.0,0.0,-3.9,42,0.0,13.7,0,0,0,0,1.6,986.0,19.9,18.4,0.0,16.5,36,980,19.9,42.7,7.8,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,880.3,0,32,0.0,0.0,0.0,0.0,880.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
576.0,0.0,0.0,-3.9,45,0.0,14.1,0,0,0,0,1.6,1000.0,19.9,19.5,0.0,9.0,36,980,19.9,45.5,8.2,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,894.0,0,32,0.0,0.0,0.0,0.0,894.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
550.4,0.0,0.0,-3.9,44,0.0,14.1,0,0,0,0,1.6,999.0,19.9,19.1,0.0,10.5,36,980,19.9,44.7,8.2,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,893.3,0,32,0.0,0.0,0.0,0.0,893.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
537.6,0.0,0.0,-3.1,44,0.0,14.1,0,0,0,0,1.6,999.0,19.5,19.1,0.0,10.9,36,980,19.5,44.3,8.2,62.9,0.0,280,1.0,15.0,508,0.0,500,0,1,892.5,0,32,0.0,0.0,0.0,0.0,892.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
524.8,0.0,0.0,-2.3,44,0.0,14.1,0,0,0,0,1.6,997.0,19.9,19.5,0.0,11.3,36,970,19.9,44.3,8.2,62.5,0.0,280,1.0,15.0,508,0.0,500,0,1,890.0,0,32,0.0,0.0,0.0,0.0,890.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
537.6,0.0,0.0,-1.6,44,0.0,14.1,0,0,0,0,1.6,981.0,19.9,19.5,0.0,10.1,37,970,19.9,44.7,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,874.5,0,32,0.0,0.0,0.0,0.0,874.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
537.6,0.0,0.0,-1.6,44,0.0,14.1,0,0,0,0,1.6,987.0,19.5,19.5,0.0,9.4,37,970,19.5,44.7,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,880.0,0,32,0.0,0.0,0.0,0.0,880.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,-1.6,43,0.0,14.1,0,0,0,0,1.6,984.0,19.5,19.5,0.0,11.3,37,970,19.5,43.9,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,877.0,0,32,0.0,0.0,0.0,0.0,877.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,-1.6,43,0.0,14.1,0,0,0,0,1.6,989.0,19.5,19.5,0.0,12.0,37,970,19.5,43.1,8.2,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,882.3,0,32,0.0,0.0,0.0,0.0,882.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,-0.8,43,0.0,14.1,0,0,0,0,1.6,976.0,19.5,19.5,0.0,12.0,38,970,19.5,43.5,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,869.3,0,32,0.0,0.0,0.0,0.0,869.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,-0.8,43,0.0,14.1,0,0,0,0,1.6,972.0,19.9,19.5,0.0,12.4,38,970,19.9,43.9,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,865.0,0,32,0.0,0.0,0.0,0.0,865.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
524.8,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,1.6,978.0,19.5,19.5,0.0,11.3,38,970,19.5,43.9,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,870.8,0,32,0.0,0.0,0.0,0.0,870.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,1.6,974.0,19.9,19.5,0.0,12.0,38,960,19.9,43.9,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,866.8,0,32,0.0,0.0,0.0,0.0,866.8,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,1.6,972.0,19.5,19.5,0.0,12.0,39,960,19.5,43.5,8.6,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,864.5,0,32,0.0,0.0,0.0,0.0,864.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,42,0.0,14.1,0,0,0,0,1.6,973.0,19.5,19.5,0.0,12.4,39,960,19.5,43.1,9.0,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,865.3,0,32,0.0,0.0,0.0,0.0,865.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,-0.8,42,0.0,14.1,0,0,0,0,1.6,973.0,19.5,19.5,0.0,13.1,39,960,19.5,43.1,10.2,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,866.5,0,32,0.0,0.0,0.0,0.0,866.5,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,-0.8,43,0.0,14.1,0,0,0,0,1.6,972.0,19.5,19.5,0.0,12.8,39,960,19.5,43.1,10.5,62.1,0.0,280,1.0,15.0,508,0.0,500,0,1,865.3,0,32,0.0,0.0,0.0,0.0,865.3,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,1.6,964.0,19.5,19.5,0.0,12.8,39,960,19.5,43.1,10.5,61.7,0.0,280,1.0,15.0,508,0.0,500,0,1,856.0,0,32,0.0,0.0,0.0,0.0,856.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,43,0.0,14.1,0,0,0,0,1.6,965.0,19.5,19.5,0.0,12.4,39,960,19.5,43.5,10.9,61.7,0.0,280,1.0,15.0,508,0.0,500,0,1,857.3,0,33,0.0,0.0,0.0,0.0,857.3,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,0.0,43,0.0,13.7,0,0,0,0,1.6,961.0,19.5,19.5,0.0,12.8,39,950,19.5,43.5,10.9,61.7,0.0,280,1.0,15.0,508,0.0,500,0,1,852.8,0,33,0.0,0.0,0.0,0.0,852.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
473.6,0.0,0.0,-0.8,42,0.0,13.7,0,0,0,0,1.6,957.0,19.5,19.5,0.0,15.0,39,950,19.5,42.7,10.9,61.3,0.0,280,1.0,15.0,508,0.0,500,0,1,850.3,0,33,0.0,0.0,0.0,0.0,850.3,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,-0.8,42,0.0,13.7,0,0,0,0,1.6,960.0,19.5,19.5,0.0,15.0,40,950,19.5,42.7,10.5,61.3,0.0,280,1.0,15.0,508,0.0,500,0,1,852.5,0,33,0.0,0.0,0.0,0.0,852.5,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
473.6,0.0,0.0,-0.8,42,0.0,13.7,0,0,0,0,1.6,956.0,19.5,19.5,0.0,15.4,40,950,19.5,42.7,10.5,61.3,0.0,280,1.0,15.0,508,0.0,500,0,1,848.8,0,33,0.0,0.0,0.0,0.0,848.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
499.2,0.0,0.0,-0.8,42,0.0,13.7,0,0,0,0,1.6,953.0,19.5,19.5,0.0,12.8,40,950,19.5,43.5,11.3,61.3,0.0,280,1.0,15.0,508,0.0,500,0,1,846.0,0,33,0.0,0.0,0.0,0.0,846.0,0,0,0,0.0,-10.2,1,0.0,0.0,-10.2,0,4.0,0
486.4,0.0,0.0,-0.8,43,0.0,13.7,0,0,0,0,1.6,952.0,19.5,19.5,0.0,11.3,40,940,19.5,43.9,11.7,61.3,0.0,280,1.0,15.0,508,0.0,500,0,1,844.8,0,33,0.0,0.0,0.0,0.0,844.8,0,0,0,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
512.0,0.0,0.0,-0.8,43,0.0,13.7,0,0,0,0,1.6,923.0,20.3,19.5,0.0,9.8,41,910,20.3,44.7,12.5,60.5,0.0,280,1.0,15.0,322,0.0,500,0,1,815.8,0,33,0.0,0.0,0.0,0.0,815.8,0,0,5,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
576.0,0.0,0.0,-3.1,53,0.0,14.5,0,0,0,0,0.8,794.0,25.4,19.9,0.0,7.9,41,800,25.4,53.7,19.5,57.8,0.0,280,1.0,15.0,206,0.0,500,0,1,329.8,1,33,0.0,0.0,0.0,0.0,329.8,0,0,5,0.0,-10.2,2,0.0,0.0,-10.2,0,4.0,0
576.0,0.0,0.0,-3.9,56,0.0,14.1,0,0,0,0,0.8,787.0,26.2,19.9,0.0,3.0,41,800,26.2,57.6,21.5,57.8,0.0,280,1.0,15.0,508,0.0,500,0,1,0.0,1,33,0.0,0.0,0.0,0.0,0.0,0,0,5,0.0,-10.2,1,0.0,0.0,-10.2,0,2.7,0
