filename,driver,start_idx,end_idx,status,details
All_1.csv,A,1853,1882,success,"alpha=0.04, decay=0.7, L=30, effect_speed=2.966, effect_rpm=158.457, rpm_col=engine_speed"
All_2.csv,A,356,385,success,"alpha=0.04, decay=0.7, L=30, effect_speed=15.716, effect_rpm=296.705, rpm_col=engine_speed"
All_3.csv,A,1323,1352,success,"alpha=0.04, decay=0.7, L=30, effect_speed=7.482, effect_rpm=205.586, rpm_col=engine_speed"
All_4.csv,A,843,872,success,"alpha=0.04, decay=0.7, L=30, effect_speed=12.184, effect_rpm=343.542, rpm_col=engine_speed"
All_5.csv,A,1067,1096,success,"alpha=0.04, decay=0.7, L=30, effect_speed=4.907, effect_rpm=166.006, rpm_col=engine_speed"
All_6.csv,A,1514,1543,success,"alpha=0.04, decay=0.7, L=30, effect_speed=10.234, effect_rpm=323.540, rpm_col=engine_speed"
All_7.csv,A,1523,1552,success,"alpha=0.04, decay=0.7, L=30, effect_speed=3.611, effect_rpm=105.310, rpm_col=engine_speed"
All_8.csv,A,,,skipped: no valid window meeting constraints,
All_1.csv,B,1304,1333,success,"alpha=0.04, decay=0.7, L=30, effect_speed=7.428, effect_rpm=235.426, rpm_col=engine_speed"
All_2.csv,B,1995,2024,success,"alpha=0.04, decay=0.7, L=30, effect_speed=9.631, effect_rpm=287.692, rpm_col=engine_speed"
All_3.csv,B,1476,1505,success,"alpha=0.04, decay=0.7, L=30, effect_speed=6.846, effect_rpm=510.642, rpm_col=engine_speed"
All_4.csv,B,1583,1612,success,"alpha=0.04, decay=0.7, L=30, effect_speed=4.941, effect_rpm=200.356, rpm_col=engine_speed"
All_5.csv,B,,,skipped: no valid window meeting constraints,
All_6.csv,B,2182,2211,success,"alpha=0.04, decay=0.7, L=30, effect_speed=3.053, effect_rpm=241.838, rpm_col=engine_speed"
All_7.csv,B,922,951,success,"alpha=0.04, decay=0.7, L=30, effect_speed=6.183, effect_rpm=107.160, rpm_col=engine_speed"
All_8.csv,B,1820,1849,success,"alpha=0.04, decay=0.7, L=30, effect_speed=4.032, effect_rpm=225.427, rpm_col=engine_speed"
All_1.csv,C,1247,1276,success,"alpha=0.04, decay=0.7, L=30, effect_speed=4.429, effect_rpm=264.255, rpm_col=engine_speed"
All_2.csv,C,1762,1791,success,"alpha=0.04, decay=0.7, L=30, effect_speed=8.083, effect_rpm=442.706, rpm_col=engine_speed"
All_3.csv,C,500,529,success,"alpha=0.04, decay=0.7, L=30, effect_speed=6.451, effect_rpm=302.179, rpm_col=engine_speed"
All_4.csv,C,710,739,success,"alpha=0.04, decay=0.7, L=30, effect_speed=3.531, effect_rpm=173.433, rpm_col=engine_speed"
All_5.csv,C,1492,1521,success,"alpha=0.04, decay=0.7, L=30, effect_speed=8.485, effect_rpm=159.115, rpm_col=engine_speed"
All_1.csv,D,76,105,success,"alpha=0.04, decay=0.7, L=30, effect_speed=3.662, effect_rpm=282.376, rpm_col=engine_speed"
All_2.csv,D,,,skipped: no valid window meeting constraints,
All_3.csv,D,877,906,success,"alpha=0.04, decay=0.7, L=30, effect_speed=15.340, effect_rpm=216.237, rpm_col=engine_speed"
All_4.csv,D,,,skipped: no valid window meeting constraints,
All_5.csv,D,1093,1122,success,"alpha=0.04, decay=0.7, L=30, effect_speed=11.823, effect_rpm=307.132, rpm_col=engine_speed"
All_6.csv,D,1138,1167,success,"alpha=0.04, decay=0.7, L=30, effect_speed=3.161, effect_rpm=181.997, rpm_col=engine_speed"
All_7.csv,D,1466,1495,success,"alpha=0.04, decay=0.7, L=30, effect_speed=2.258, effect_rpm=265.272, rpm_col=engine_speed"
All_8.csv,D,979,1008,success,"alpha=0.04, decay=0.7, L=30, effect_speed=4.680, effect_rpm=250.807, rpm_col=engine_speed"
All_9.csv,D,143,172,success,"alpha=0.04, decay=0.7, L=30, effect_speed=5.227, effect_rpm=51.861, rpm_col=engine_speed"
